J4_KK5,J1_KK2,MKK,MKK_P,MKK_TOT
36.49,1.0,260.6484539623644,20.046108575169555,300.0
36.88,1.0,260.80847757937505,19.885365386775412,300.0
37.27,1.0,260.96540615144136,19.72772178448038,300.0
37.660000000000004,1.0,261.11933099538345,19.57308637958988,300.0
38.050000000000004,1.0,261.27033984451054,19.42137136861195,300.0
38.44,1.0,261.4185170232172,19.272492358501754,300.0
38.83,1.0,261.56394361136165,19.126368202512598,300.0
39.22,1.0,261.70669759896936,18.98292084531442,300.0
39.61,1.0,261.84685403265104,18.84207517662563,300.0
40.0,1.0,261.98448515294274,18.70375889355519,300.0
,,,,
1.0,5.0,114.53418470415762,165.95744772904365,300.0
1.3900000000000001,5.0,123.96120542861406,156.52309114320565,300.0
1.78,5.0,133.19436623130753,147.28303320991282,300.0
2.17,5.0,142.03948094035894,138.43141738348797,300.0
2.56,5.0,150.3611833493086,130.10356275332293,300.0
2.95,5.0,158.08459625224634,122.37430010379309,300.0
3.34,5.0,165.18506299422157,115.26824373170034,300.0
3.73,5.0,171.67355621459245,108.77438426168553,300.0
4.12,5.0,177.58300956006516,102.85975718430183,300.0
4.51,5.0,182.95779243265315,97.47996763349177,300.0
4.9,5.0,187.84655802662576,92.58634158024005,300.0
5.29,5.0,192.29783758277077,88.13033076519473,300.0
5.68,5.0,196.3575822526439,84.06597009607212,300.0
6.07,5.0,200.06797075833478,80.35106936525288,300.0
6.46,5.0,203.46698661723,76.9476355207356,300.0
6.8500000000000005,5.0,206.5884341588235,73.82185624942866,300.0
7.24,5.0,209.46218519419148,70.9438529941884,300.0
7.63,5.0,212.11453110768514,68.28732861741499,300.0
8.02,5.0,214.56856820313797,65.82918186385606,300.0
8.41,5.0,216.8445768476823,63.54912806736825,300.0
8.8,5.0,218.960374520715,61.42934598452216,300.0
9.19,5.0,220.93163423583619,59.454159279901354,300.0
9.58,5.0,222.77216616684473,57.609754826338396,300.0
9.97,5.0,224.49416369077048,55.88393660285996,300.0
10.36,5.0,226.1084166999108,54.2659123350721,300.0
10.75,5.0,227.6244956812014,52.746109377192965,300.0
11.14,5.0,229.05091016156396,51.31601623515863,300.0
11.530000000000001,5.0,230.39524493593396,49.9680463126411,300.0
11.92,5.0,231.66427718164886,48.69542077515657,300.0
12.31,5.0,232.86407720478536,47.49206778580132,300.0
12.700000000000001,5.0,234.00009520657574,46.35253572378601,300.0
13.09,5.0,235.07723612474175,45.27191833039341,300.0
13.48,5.0,236.09992430536357,44.245790026312136,300.0
13.870000000000001,5.0,237.0721594986353,43.270149906653366,300.0
14.26,5.0,237.99756544543322,42.34137314645325,300.0
14.65,5.0,238.87943212810245,41.456168743034425,300.0
15.040000000000001,5.0,239.72075259454718,40.61154268596495,300.0
15.43,5.0,240.52425645157246,39.80476445882189,300.0
15.82,5.0,241.29243254835237,39.03334434971694,300.0
16.21,5.0,242.02756220442947,38.295000221879505,300.0
16.6,5.0,242.73173505350812,37.5876416637984,300.0
16.990000000000002,5.0,243.4068697389308,36.90934929458887,300.0
17.38,5.0,244.0547308376673,36.2583578280371,300.0
17.77,5.0,244.6769438437973,35.63304109931168,300.0
18.16,5.0,245.2750084613618,35.03189875963437,300.0
18.55,5.0,245.8503104184565,34.453544464587786,300.0
18.94,5.0,246.40413199359693,33.89669534718877,300.0
19.330000000000002,5.0,246.9376614049749,33.36016262129962,299.99999999999994
19.72,5.0,247.4520012117316,32.842843186202444,300.0
20.11,5.0,247.94817583558012,32.34371209768957,300.0
20.5,5.0,248.42713831208383,31.861815817961865,300.0
20.89,5.0,248.88977636005907,31.39626614466901,300.0
21.28,5.0,249.33691785004922,30.94623474404165,300.0
21.67,5.0,249.76933572827213,30.510948219258385,300.0
22.060000000000002,5.0,250.18775247843945,30.089683655173268,300.0
22.45,5.0,250.59284414707136,29.681764587267008,300.0
22.84,5.0,250.98524400039335,29.28655734686284,300.0
23.23,5.0,251.365545836873,28.903467744378343,300.0
23.62,5.0,251.73430700487367,28.53193805585088,300.0
24.01,5.0,252.0920511431974,28.171444277459226,300.0
24.400000000000002,5.0,252.43927068293027,27.82149362497359,300.0
24.79,5.0,252.77642913113766,27.481622250101324,300.0
25.18,5.0,253.10396315544145,27.1513931537083,300.0
25.57,5.0,253.42228449276064,26.830394277331077,300.0
25.96,5.0,253.73178170064344,26.518236752525333,300.0
26.35,5.0,254.03282175976017,26.214553296664914,300.0
26.740000000000002,5.0,254.32575154695706,25.918996739202502,300.0
27.130000000000003,5.0,254.61089919197374,25.63123866511141,300.0
