time(hour),MP/MP(nanomolar),CN/CN(nanomolar),P0/P0(nanomolar),P1/P1(nanomolar),P2/P2(nanomolar),T2/T2(nanomolar),C/C(nanomolar),MT/MT(nanomolar),T0/T0(nanomolar),T1/T1(nanomolar),MP/MP',CN/CN',P0/P0',P1/P1',P2/P2',T2/T2',C/C',MT/MT',T0/T0',T1/T1',P2/Pt(nanomolar)
0,0.1,1.25,0.1,0.1,0.1,0.1,0.1,1.6,0.1,0.1,0.05624555429436248,-0.2025,-0.2443333333333333,0.04229004329004332,-0.32962337662337665,-0.32962337662337665,0.14100000000000001,-0.34764333459452645,1.105666666666667,0.04229004329004332,1.65
0.0005162660483370303,0.1000290497887723,1.24989548998033,0.09987411398008635,0.10002147934844065,0.0998303730906978,0.09983037551865888,0.1000727162978125,1.5998205640747585,0.10056967043452021,0.10002277915739241,0.056269028083232475,-0.20243442311718185,-0.24383943185720575,0.04160519272926638,-0.3285649130881366,-0.32856021016201103,0.1408504356362875,-0.3475648375863424,1.1034435372134177,0.044122904199839996,1.6496941726973673
0.40376977754065363,0.1258845629253672,1.176916772886749,0.05055243591514756,0.07434067592166571,0.04615513557672468,0.09356845310487802,0.1405508414716274,1.4717410288943955,0.33570027078979225,0.2214510425696125,0.07097189939619736,-0.16282201742324084,-0.04859584889676036,-0.08194390428965209,-0.05373502749956044,0.15269465474333754,0.07049923396319271,-0.2883416115661796,0.27109149534899935,0.3359659091329691,1.4885158617719143
0.8254621426716027,0.1583412439451724,1.1141250385928523,0.042556724853649606,0.05138855936746564,0.03216882382869691,0.16683163171563467,0.1617498137765761,1.362492670899204,0.39376984489353617,0.3303096968731531,0.0826882510482651,-0.13691636983855335,0.00045195695739463915,-0.02812302375087225,-0.017588992022165073,0.170341445630249,0.033547865892570555,-0.2304418924572441,0.04806837799905472,0.17995273038838033,1.4019889604192406
1.2170987104034339,0.19273864241385272,1.0638165026431192,0.046125130046647846,0.04690319987516848,0.02877023843301128,0.2249110056816023,0.17070451292222535,1.2822331941396912,0.39746141745484903,0.3783552739355597,0.09299460540096022,-0.12097875780171984,0.015576366316302687,0.0016099906364305527,-0.0018025638301811808,0.12283005913942024,0.013975731804332814,-0.1799194271005129,-0.017156247794309687,0.07436019496042712,1.3563195839201723
1.6170987104034342,0.2321109305641408,1.0178503307294802,0.05396459346092994,0.05074080547344214,0.029672464294695094,0.26281306317701525,0.17380676830062702,1.2200880012184596,0.3860210837719423,0.39482181522614623,0.10398426576105152,-0.10946450847281464,0.022915818140183425,0.015812977319174387,0.005363958127797164,0.06737902590400213,0.0026218499820966634,-0.13130094374773932,-0.03519172789967606,0.014661270554930939,1.3260349622591745
2.0170987104034346,0.27603134496764126,0.975861048185537,0.06413336180438997,0.05865660994276503,0.032593054583791824,0.2801929373787593,0.17345849683685233,1.1767950719303983,0.3718019221131779,0.39430898657298036,0.11575360425674153,-0.10085572201685138,0.027716679039800962,0.02310660246407381,0.008909191425427343,0.021932509509518194,-0.0037537590931092657,-0.08566688268191525,-0.03399063776257427,-0.013174552619847235,1.304702571353336
2.417098710403435,0.32481734684337626,0.9369273079389971,0.07605023392856425,0.06891081964593394,0.03664977875055229,0.28252249730842105,0.17117515349309684,1.1511440003045785,0.3598012815960597,0.3867648344977643,0.12829466745193657,-0.09404964257133133,0.031825492516293186,0.027952355566187692,0.011282941146975367,-0.007489969755008152,-0.007311209716759137,-0.04311217544479873,-0.025290841932991137,-0.022223754785815064,1.2897132937571445
2.8170987104034353,0.3787485491660772,0.9004681768988111,0.08958814285915617,0.0809286012877696,0.04158781856512108,0.2763211718740394,0.16783079106549026,1.1418785532538802,0.3519136268965634,0.37793198142966966,0.14144429716586393,-0.08839984250945618,0.03587972113448912,0.032091182189464496,0.01340292607251603,-0.021118887821702348,-0.009191708095561968,-0.0037569079740391587,-0.013924473097798762,-0.020649531955605704,1.2804035306763482
3.2170987104034356,0.4380218349881507,0.8661075978021175,0.10477506200199743,0.09457579945638002,0.047384251251845554,0.26726231404114037,0.16396615753362773,1.1477005692187503,0.34874188363768915,0.3710107816706114,0.15496053951878086,-0.08350290101826809,0.0400870579773121,0.036157867453260495,0.015608042760382634,-0.022513763584552038,-0.009980701488855936,0.03231616697436335,-0.0019213551604977397,-0.013271448206470193,1.2768088680459684
3.617098710403436,0.5027283499787353,0.8336021517208518,0.12168448240025415,0.10987420338757811,0.054103915845411646,0.2593373603438018,0.1599506286220162,1.1672906270885903,0.35034580772496243,0.36770273874284454,0.16856159257312842,-0.0790860746881692,0.044492696061431136,0.04036466477285089,0.018033638794348494,-0.016177403990362826,-0.009982430224934502,0.0650847483802206,0.009866372447552951,-0.002948634656768645,1.2792153819761118
4.017098710403436,0.5728428901525975,0.8028014165397138,0.14039325916639897,0.12689340040256883,0.061849394977969784,0.2548371121310011,0.15606286161386854,1.1993323495680317,0.35655876482398363,0.3688103818600983,0.18195121665523517,-0.07495058050501881,0.0490778662197392,0.04476367124899572,0.02074525716057196,-0.005917821484290098,-0.009361953800955558,0.09458466757320638,0.021089091420612105,0.008585386598469302,1.2880003327005198
4.417098710403435,0.6482223314956762,0.7736248687642032,0.16096481738216417,0.1457096196287227,0.07074370518304982,0.2547931729876013,0.1525318931172337,1.242533153695818,0.3671239460150558,0.37459296080163756,0.19483917421744812,-0.07094208657014248,0.05379806037435786,0.049345567071108265,0.023783413448310586,0.005809057664867057,-0.008208601184025693,0.12089649560409232,0.031616366197113166,0.020299112118576268,1.3035749040753735
